Epoch,Content Loss,Adversarial Loss,Train SNR,Valid SNR,Train PSNR,Valid PSNR,Train SSIM,Valid SSIM
1,0.007134607993066311,0.8292196393013,14.72010524706407,14.449779744148254,21.052375776702345,20.976616011557827,0.7016691327143748,0.6945836726845475
2,0.005549619905650616,2.4598042964935303,17.689702861959283,17.372852475643157,24.02197330396411,23.899688637339416,0.8402335282700313,0.8343448160009566
3,0.004065089859068394,3.8739242553710938,16.133056529001756,15.891933493614196,22.46532706342915,22.418769760843215,0.8182518174606099,0.8120008667768249
4,0.006822648458182812,2.6542625427246094,16.667275830832395,16.38365148305893,22.999546401305327,22.910487771001513,0.8443408253242469,0.837086467342123
5,0.004352004732936621,0.4927231967449188,16.86333516402678,16.59404509305954,23.195605704532124,23.1208813718347,0.8552155875375258,0.8509210090807074
6,0.0030888773035258055,1.6377193927764893,19.11906686262651,18.788874258995055,25.45133708966612,25.315710216639463,0.864899725635785,0.8592050770489164
7,0.005866210907697678,1.0251325368881226,15.726070125536484,15.508064947128297,22.058340641110682,22.03490122401984,0.8558764751530453,0.8507385639941875
8,0.0035663542803376913,1.2239220142364502,17.39046994339336,17.137390718460082,23.722740451598078,23.664226986673498,0.8680131121051096,0.8643032104074025
9,0.0025888585951179266,1.1054165363311768,18.779441113905474,18.463006587028502,25.111711349688726,24.98984257192672,0.8736004338018603,0.8703260630947988
10,0.0028477406594902277,1.0098106861114502,19.351736016706987,18.966606907844543,25.684006132813817,25.493442853646737,0.8764522086565996,0.8732391501239544
11,0.0027768416330218315,1.6646925210952759,20.195650219917297,19.78878364086151,26.52792036663372,26.315619555813818,0.8768659467285067,0.8734775963426431
12,0.002550373086705804,0.4995515048503876,19.964002674276177,19.55339165687561,26.29627285121696,26.080227566925718,0.871656601197049,0.8680979673092302
13,0.0033792208414524794,2.1394479274749756,19.748911079493435,19.339609055519105,26.08118123824557,25.866444973647532,0.866063591819021,0.8615863549147106
14,0.0038614911027252674,1.4260740280151367,19.759515289826826,19.346013379096984,26.0917854230177,25.872849276739675,0.872056351419367,0.8686544386158024
15,0.003550152061507106,2.142319917678833,19.458747259053318,19.06368283748627,25.791017435140486,25.590518819634937,0.8643735431268458,0.8586562658584728
16,0.0029242585878819227,1.8595799207687378,19.202928428216413,18.833054542541504,25.53519863139905,25.359890411933463,0.8584584702113462,0.8553602014356811
17,0.0033142876345664263,1.8829437494277954,19.15430937680331,18.792004961967468,25.486579575408253,25.3188409112223,0.8676803285468361,0.8645948020427225
18,0.005840137135237455,1.239601969718933,19.14373954642903,18.787136960029603,25.476009782299087,25.313972972628683,0.860777328866111,0.8568893890004415
19,0.003492851508781314,0.9393587112426758,18.641524772210555,18.29476538181305,24.973795032822604,24.8216013835827,0.8420311684221707,0.8389672012793633
20,0.0029370002448558807,1.6297975778579712,19.236705008420078,18.889082660675047,25.56897522540122,25.415918621473985,0.8438291369631502,0.8406107190190008
21,0.0030599450692534447,1.4412912130355835,19.372069376165218,19.015245027542115,25.70433954952593,25.54208098358052,0.8448234029061764,0.8410106507008871
22,0.002497843001037836,1.586490511894226,19.355903499776666,19.0014026594162,25.688173681135133,25.528238585450904,0.8443679069069873,0.8410572702411293
23,0.0034544391091912985,1.4756711721420288,19.29802522659302,18.945310745239258,25.630295478241024,25.472146672085216,0.8439672586887702,0.8407587669786454
24,0.002945182379335165,1.397251844406128,19.31507036035711,18.965572385787965,25.647340538727846,25.492408350282954,0.8444748473965172,0.841417105076127
25,0.0027694201562553644,1.6609687805175781,19.32249733317982,18.970816917419434,25.654767513637044,25.497652811895392,0.8430263315418158,0.8398749590847102
26,0.0027028745971620083,0.8308388590812683,19.268644445592706,18.923780651092528,25.600914651030436,25.45061657642335,0.8435778356145612,0.840570531534877
27,0.0030673460569232702,0.8066215515136719,19.31283328099684,18.960224413871764,25.645103469873952,25.487060367416788,0.8442479103914775,0.8413162274009091
28,0.0032956271898001432,1.4198534488677979,19.240131202611057,18.896687927246095,25.572401412705638,25.42352391665088,0.8435381027981249,0.8402933350362235
29,0.003989788703620434,1.1619948148727417,19.296353955702347,18.947434735298156,25.62862413147861,25.47427063618369,0.8451426728833017,0.8423308781180893
30,0.003228939836844802,0.8838359713554382,19.25606648271734,18.91097879886627,25.588336694548637,25.43781469541072,0.8468207512766078,0.8440061509543364
31,0.002885087626054883,0.9164509773254395,19.220016858794473,18.87237636089325,25.55228709424516,25.399212264221017,0.8456571582369501,0.8427447636951391
32,0.0032592040952295065,0.9715356230735779,19.26299801089547,18.915077171325684,25.595268189467262,25.44191305488142,0.8463913083574651,0.8435699217214582
33,0.0033146855421364307,1.071406364440918,19.236755492470483,18.890321083068848,25.56902566617044,25.417156946444642,0.8471691584727495,0.8442631287123015
34,0.0027703475207090378,1.0044790506362915,19.254734908450732,18.908030047416688,25.587005119297565,25.434865889390828,0.8457762176575849,0.842884114621366
35,0.0034151109866797924,1.9842804670333862,19.285690836472945,18.93886598587036,25.6179610099096,25.465701889158552,0.8466323586756649,0.8437641821296709
36,0.0030348007567226887,1.2790095806121826,19.257853575186296,18.909200472831728,25.590123781846753,25.43603641858225,0.8470513268171399,0.8441821891928294
37,0.00340667855925858,0.7599797248840332,19.297658983143894,18.949036250114442,25.629929151286582,25.475872231941562,0.8471218524993689,0.8442856187965737
38,0.0030993162654340267,1.413573145866394,19.280956877361643,18.93142673969269,25.61322704986003,25.458262680400882,0.8461549177230835,0.8433237397955275
39,0.0033748208079487085,1.4895806312561035,19.24877863147042,18.90354429721832,25.581048819982936,25.43038027873064,0.8474220330087291,0.8446236451537485
40,0.002878721570596099,1.805384635925293,19.234096709164707,18.889153876304626,25.56636693016532,25.4159897824215,0.8475471102707599,0.8447940332288655
41,0.003216506214812398,1.7753517627716064,19.277315053072844,18.930778050422667,25.609585242399287,25.45761396938821,0.8477345375589647,0.8448548782470611
42,0.003166994545608759,1.1519240140914917,19.268422001058404,18.920932092666625,25.60069217850142,25.44776798710656,0.8468433428882665,0.8440325732406587
43,0.0036137711722403765,0.8967950940132141,19.288079209761186,18.93922602176666,25.620349412636322,25.466061967803792,0.8469117809113552,0.8440303166026615
44,0.003290716791525483,0.7980559468269348,19.236691104282034,18.892185521125793,25.56896128955281,25.419021434911024,0.846997302385,0.8439931941386593
45,0.0025936004240065813,1.7942469120025635,19.212075554240833,18.867539944648744,25.54434575705388,25.394375844348076,0.8470488991802329,0.8441460874415277
46,0.003216484794393182,1.5554221868515015,19.22700011296706,18.88048270702362,25.55927034120513,25.407318636255695,0.8473187576749643,0.844475527417002
47,0.003447794122621417,1.6431463956832886,19.26103447567333,18.914712982177733,25.593304667446485,25.44154886374817,0.8478727149992936,0.8449713126388155
48,0.003676795866340399,1.7417042255401611,19.265363402800126,18.918369512557984,25.59763359706614,25.445205487676432,0.8475633620551093,0.8446647233249235
49,0.003819782519713044,1.4344619512557983,19.277285450155084,18.92946442127228,25.60955564851256,25.45630034718106,0.84667383303293,0.8437110120597577
50,0.0031924580689519644,1.6112785339355469,19.256199832396074,18.905904808044433,25.588470015742402,25.4327407623244,0.8450268747891189,0.8416660179488751
