Epoch,Content Loss,Train SNR,Valid SNR,Train PSNR,Valid PSNR,Train SSIM,Valid SSIM
1,0.007790773641318083,14.553030638261275,14.27057050704956,20.885301792085677,20.797407453388708,0.618290889363233,0.6142801800279132
2,0.005706483963876963,17.21084098815918,16.887423210144043,23.54311217587759,23.414260137483474,0.7709239953893728,0.7671603323033903
3,0.004208824131637812,18.306786248900675,17.93086627006531,24.63905745606998,24.457703203528983,0.8100547696713075,0.8065216898778959
4,0.0052714101038873196,17.13834873979742,16.84687174797058,23.470619935139744,23.37370867861636,0.827353480449362,0.8234146194669044
5,0.004290399141609669,19.30254660736431,18.892900290489198,25.634817786872482,25.41973723819945,0.8395626020541934,0.8355428810883401
6,0.002937306184321642,19.52129812890833,19.11413166999817,25.853569303354266,25.640968657876265,0.8485884531282392,0.8444975472449903
7,0.0032302390318363905,19.85220710147511,19.431033244132994,26.18447829945454,25.957870211595235,0.8542763176684671,0.8504017922832139
8,0.0025672942865639925,20.02328194921667,19.603614654541015,26.355553106596346,26.130451532826516,0.8596874638667671,0.8558246521846057
9,0.002586813410744071,19.661400777643376,19.27967161655426,25.993671981913224,25.806508578735436,0.8630499352130555,0.8591694878748973
10,0.0024406027514487505,19.82458003434268,19.44188826560974,26.15685122803933,25.968725187523216,0.8680037588606709,0.8641275698107056
11,0.002161445328965783,20.43702569658106,20.015273847579955,26.76929690657167,26.54211076267586,0.8737744718035874,0.8698493352625598
12,0.002789095276966691,20.410061040791597,19.998846802711487,26.7423322797915,26.525683766953286,0.8773168195081844,0.8729646224310991
13,0.0030325702391564846,20.66962838389657,20.239571619033814,27.001899554424863,26.766408543844,0.8802633550599847,0.8766054866344576
14,0.001969893928617239,20.89374423677271,20.451533484458924,27.226015397323938,26.978370476143837,0.882475242823319,0.8787112214918308
15,0.001555554918013513,20.989834107052197,20.541775522232054,27.32210531774625,27.068612449730118,0.8831672681691697,0.8788696041555257
16,0.0026550497859716415,21.06004724069075,20.6149112033844,27.392318413258476,27.141748136757766,0.8860696044507741,0.8824781336490685
17,0.0021491837687790394,20.49831871552901,20.095679106712343,26.830589920347677,26.622516099921288,0.8860474614465274,0.8823769899416127
18,0.002096261363476515,21.149007201194763,20.705397815704345,27.481278409864913,27.232234803660585,0.8880929963943809,0.8843799044914714
19,0.002234707586467266,21.29190800189972,20.84397134780884,27.624179205274615,27.37080831032537,0.8895299982677334,0.8858319165719448
20,0.0017525641014799476,21.28195766318928,20.839070515632628,27.614228801868936,27.365907443877965,0.8901752701703824,0.8865855753710123
21,0.001967113930732012,21.055346874757248,20.633380227088928,27.38761807113156,27.16021718363737,0.8908061363178734,0.8871485657190961
22,0.0020059854723513126,21.402702715180137,20.958298654556273,27.734973893754667,27.485135578559014,0.89225996717528,0.8886700596000047
23,0.002589147537946701,21.35277577530254,20.91505328655243,27.685047014711234,27.441890318897464,0.8933788838132192,0.8897994390009518
24,0.0015790751203894615,21.127001701701772,20.711054782867432,27.45927291306432,27.237891761331976,0.8929666187644143,0.8891972274546978
25,0.0032831858843564987,21.49550781033256,21.052156624794005,27.827778968395446,27.578993624611083,0.8945408761908199,0.8908778263030279
26,0.0020253420807421207,21.519295796481046,21.076470012664796,27.85156698359436,27.603306961945325,0.8947282392017751,0.8910217006080778
27,0.0019721488934010267,21.57197315042669,21.127278671264648,27.90424436030543,27.65411560374297,0.8955728518549143,0.8919868935131058
28,0.001663638511672616,21.642916063828903,21.19825322628021,27.97518718440417,27.725090114114483,0.8961646625334109,0.8926037049983554
29,0.0017560733249410987,19.28073603023182,18.991103086471558,25.613007258351193,25.517940033066647,0.8910207471320862,0.8871301717540891
30,0.0023610941134393215,21.658404423973778,21.210817198753357,27.990675619282168,27.73765411549677,0.8968949377929403,0.8932058117014058
31,0.0017565315356478095,21.71938125003468,21.274280152320863,28.051652456019575,27.801117163926982,0.8977429517114449,0.8941924024285163
32,0.0017152061918750405,21.746178624846717,21.300009965896606,28.078449875548138,27.82684687721414,0.8983697141290782,0.894912907092243
33,0.002099503530189395,21.691415119171143,21.251252598762512,28.02368629660675,27.778089577970487,0.8984177425865859,0.8949149536588435
34,0.0016676263185217977,21.778195439685476,21.333627734184265,28.11046666293751,27.860464754466243,0.8986629637082455,0.8952330254591525
35,0.0022316265385597944,21.849010281129317,21.40279139995575,28.18128144399474,27.929628371471146,0.899387514912587,0.8959972163571519
36,0.001580741605721414,21.822214484214783,21.379314041137697,28.154485637020983,27.906150942887884,0.8998547040191497,0.8965040871403513
37,0.0019004361238330603,21.734602824124423,21.293651542663575,28.066874013716546,27.820488515626582,0.8993306880627421,0.8959065533295782
38,0.0020862482488155365,21.915176955136385,21.466612539291383,28.2474481319067,27.99344955681638,0.9002107868142628,0.8968789507977062
39,0.002111012116074562,21.658233137564224,21.226077642440796,27.990504368325393,27.75291464443831,0.9004970194578109,0.8969757602581708
