Epoch,Content Loss,Train SNR,Valid SNR,Train PSNR,Valid PSNR,Train SSIM,Valid SSIM
1,0.004378677811473608,16.493904467062517,16.14801337480545,22.826175677617158,22.674850274238768,0.753011749361492,0.7470332471749422
2,0.0024442097637802362,18.894183048334988,18.509744777679444,25.226454261916462,25.036581733642116,0.8285351096594472,0.8233970090309184
3,0.003919447306543589,20.06282474561171,19.649674081802367,26.395095915144125,26.176511002235678,0.8629370137027929,0.8586878248887903
4,0.0026400499045848846,19.83377516269684,19.46297257423401,26.166046344567683,25.98980948606054,0.8726417652216195,0.8687042431314959
5,0.002295819343999028,20.868187746134673,20.431802639961244,27.200458942020123,26.958639539598487,0.8810510574329664,0.8771165103961184
6,0.0021012541837990284,20.949698677929966,20.524556856155396,27.281969872083902,27.051393809410726,0.8843574426696873,0.8806333690151271
7,0.0017493036575615406,21.219528003172442,20.783116106987,27.551799204737556,27.30995306998331,0.8867899331983436,0.8831947982803509
8,0.0022994475439190865,21.08254707293077,20.651681423187256,27.414818244115573,27.178518308760797,0.8892839326667912,0.8857613869822095
9,0.0023224155884236097,20.793195854533803,20.386208381652832,27.125467035922792,26.9130453439185,0.890422291443523,0.8869771867881766
10,0.0013851162511855364,21.407555153153158,20.964612112045288,27.739826327894153,27.491449072223865,0.8911087793511014,0.8877701591201599
11,0.0025027256924659014,21.24509861686013,20.81773015499115,27.57736987053717,27.34456708453308,0.8928749288905196,0.8896040639333953
12,0.0020146530587226152,21.552280599420722,21.110656218528746,27.88455181662794,27.637493223088757,0.893493136801974,0.8902900188293167
13,0.001580343465320766,21.522579912705854,21.078456053733827,27.854851062107166,27.605293010484438,0.8945271263906481,0.891272066531353
14,0.0019396839197725058,21.211676317995245,20.79863049030304,27.543947521985512,27.325467466307888,0.8946004727411828,0.891304268930111
15,0.002213382860645652,21.591817251118748,21.152030124664307,27.92408843006051,27.678866983157903,0.895156730154001,0.8920405882913108
16,0.00258902320638299,20.124149589105087,19.776563858985902,26.456420781538924,26.303400833538074,0.8943972049038276,0.8910187972481007
17,0.0013370087835937738,21.623940829797224,21.180389919281005,27.95621206802896,27.707226828876795,0.8964290038079412,0.8932659262936843
18,0.0019399771699681878,21.6258306611668,21.187470960617066,27.95810184061081,27.714307863417798,0.8963634834386071,0.8932923066771223
19,0.002260464010760188,21.69654739336534,21.253286833763124,28.028818637984713,27.780123726188837,0.8976927613075597,0.8946373610803221
20,0.002557448111474514,21.42529292756861,21.001516819000244,27.757564106142603,27.52835380833856,0.8974303459867619,0.8942200905215496
21,0.0021826941519975662,21.68417818329551,21.24328025817871,28.01644933131664,27.77011715503018,0.898153131272673,0.89506065728266
22,0.0014720107428729534,21.650544582713735,21.21321949481964,27.982815796404847,27.74005643970064,0.8986516442351661,0.895512553340506
23,0.002003598725423217,21.714108883250844,21.271949014663697,28.04638012901267,27.798785950182324,0.8991707468109744,0.8961035469752271
24,0.001724143628962338,21.550066247853366,21.123520889282226,27.882337458098057,27.650357792691516,0.8979252049921126,0.8948932170333378
25,0.002663307124748826,21.83367520679127,21.388559927940367,28.165946409688402,27.91539680877235,0.89897200816202,0.8959057305081298
26,0.0019773708190768957,21.831773177060214,21.389115238189696,28.164044385384816,27.91595222395988,0.9000726581877811,0.8970664322857076
27,0.0019295059610158205,21.80171999497847,21.36365357398987,28.133991157399816,27.89049051552091,0.8999636690213028,0.8968476513669227
28,0.0016209004679694772,21.453189728476783,21.045523643493652,27.785460893424343,27.572360609527763,0.8999776587732989,0.8969373703276279
29,0.0023883518297225237,21.605167605660178,21.182388176918028,27.93743886677717,27.709225078187465,0.8998576415991403,0.8967963334580569
30,0.0028171720914542675,21.919886606389827,21.476376996040344,28.252157812865477,28.003213924397983,0.9003799409430097,0.8973517239452412
31,0.0011092285858467221,21.765219322117893,21.33287531375885,28.097490507355253,27.85971225962225,0.9010145592388381,0.8980039741525573
32,0.002224276540800929,21.775187201933427,21.338425192832947,28.107458390556314,27.865262103578015,0.9010612224728147,0.8980817075262433
33,0.002800136338919401,21.974443110552702,21.527960901260375,28.30671428337338,28.054797852508646,0.9008572675331152,0.8977930417349157
